num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,0,1,1,9042,4,0,0,0,1,0,nan,4,0.973227,0.0386169,1.681,0,41.0009,1,0,34.3057,62.6051,0
4,1,1,1,10000,0,1,1,9042,5,0,0,0,1,0,nan,4,1.03828,0.0375279,1.725,0,68.0393,1,0,34.3057,62.6094,0
4,1,1,1,10000,0,1,1,9042,6,0,0,0,1,0,nan,4,0.964374,0.0439149,1.969,0,57.4079,1,0,34.3057,62.6068,0
4,1,1,1,10000,0,1,1,9042,7,0,0,0,1,0,nan,4,1.03365,0.0644234,1.95,0,85.8423,1,0,34.3057,62.6073,0
4,1,1,1,10000,0,1,1,9042,8,0,0,0,1,0,nan,4,1.09206,0.0452467,1.95,0,62.4003,1,0,34.3057,62.6049,0
4,1,1,1,10000,0,1,1,9042,9,0,0,0,1,0,nan,4,1.04986,0.0404307,1.66,0,157.782,1,0,34.3057,62.6046,0
4,1,1,1,10000,0.5,1,1,10042,0,0,0,0,1,0,nan,4,0.988095,0.037442,1.479,0,41.7329,1,0,34.3057,62.6038,0
4,1,1,1,10000,0.5,1,1,10042,1,0,0,0,1,0,nan,4,0.95997,0.0375299,2.399,0,70.5613,1,0,34.3057,62.6048,0
4,1,1,1,10000,0.5,1,1,10042,2,1,0,0,1,1,1.04935e-06,4,1.05435,0.0560746,1.773,7.5718,124.194,1,5,43.3222,66.4251,0
4,1,1,1,10000,0.5,1,1,10042,3,0,0,0,1,0,nan,4,1.02552,0.038302,1.677,0,168.921,1,0,34.3057,62.6094,0
4,1,1,1,10000,0.5,1,1,10042,4,0,0,0,1,0,nan,4,0.976854,0.0386003,1.823,0,135.981,1,0,34.3057,62.6078,0
4,1,1,1,10000,0.5,1,1,10042,5,1,0,0,1,1,4.93104e-07,4,0.93136,0.0372957,1.739,6.733,113.621,1,3,41.6444,66.6771,0
4,1,1,1,10000,0.5,1,1,10042,6,0,0,0,1,0,nan,4,1.16456,0.040418,2.096,0,87.1681,1,0,34.3057,62.6053,0
4,1,1,1,10000,0.5,1,1,10042,7,0,0,0,1,0,nan,4,1.00804,0.039783,1.824,0,65.8971,1,0,34.3057,62.6091,0
4,1,1,1,10000,0.5,1,1,10042,8,0,0,0,1,0,nan,4,0.996319,0.0400633,1.748,0,113.177,1,0,34.3057,62.6066,0
4,1,1,1,10000,0.5,1,1,10042,9,0,0,0,1,0,7.46488e+10,4,0.992296,0.0372481,1.893,0,143.501,1,0,34.316,906.787,0
4,1,1,1,10000,1.5,1,1,11042,0,0,0,0,1,0,nan,4,1.13161,0.0578691,1.553,0,102.408,1,0,34.3057,62.6074,0
4,1,1,1,10000,1.5,1,1,11042,1,0,0,0,1,0,0.000146202,4,1.11945,0.0390985,1.594,6.654,144.14,1,5,62.49,68.2807,0
4,1,1,1,10000,1.5,1,1,11042,2,0,0,0,1,0,8.92842e+10,4,0.963081,0.0399411,1.626,0,45.4565,1,0,34.3034,730.526,0
4,1,1,1,10000,1.5,1,1,11042,3,0,0,0,1,0,nan,4,1.00447,0.0373552,1.695,0,84.3765,1,0,34.3057,62.6062,0
4,1,1,1,10000,1.5,1,1,11042,4,1,0,0,1,1,1.37845e-05,4,0.934927,0.0369856,1.99,6.698,63.0106,1,2,50.2096,68.8562,0
4,1,1,1,10000,1.5,1,1,11042,5,0,0,0,1,0,nan,4,0.989645,0.0407535,1.748,0,61.2587,1,0,34.3057,62.6064,0
4,1,1,1,10000,1.5,1,1,11042,6,0,0,0,1,0,nan,4,0.927528,0.0354093,1.579,0,116.482,1,0,34.3057,62.6054,0
4,1,1,1,10000,1.5,1,1,11042,7,0,0,0,1,0,nan,4,0.95727,0.0387835,1.653,0,95.5015,1,0,34.3057,62.6046,0
4,1,1,1,10000,1.5,1,1,11042,8,1,0,0,1,1,3.20273e-08,4,0.997944,0.0445298,1.55,5.806,165.807,1,5,58.5336,68.4834,0
4,1,1,1,10000,1.5,1,1,11042,9,0,0,0,1,0,nan,4,1.07991,0.0406346,1.796,0,99.0686,1,0,34.3057,62.6043,0
4,1,1,1,10000,2,1,1,12042,0,0,0,0,1,0,nan,4,0.995721,0.035518,1.441,0,113.719,1,0,34.3057,62.6058,0
4,1,1,1,10000,2,1,1,12042,1,1,0,0,1,1,1.04574e-06,4,0.94032,0.0364212,1.515,5.12533,76.6072,1,6,190.853,81.7075,0
4,1,1,1,10000,2,1,1,12042,2,0,0,0,1,0,9.32832e+10,4,0.838439,0.0360092,1.597,0,122.289,1,0,34.3036,676.337,0
4,1,1,1,10000,2,1,1,12042,3,0,0,0,1,0,nan,4,0.970714,0.0369383,1.859,0,91.3031,1,0,34.3057,62.602,0
4,1,1,1,10000,2,1,1,12042,4,0,0,0,1,0,nan,4,1.014,0.0388396,1.756,0,53.945,1,0,34.3057,62.6056,0
4,1,1,1,10000,2,1,1,12042,5,0,0,0,1,0,nan,4,0.95956,0.0437048,1.595,0,64.4663,1,0,34.3057,62.6076,0
4,1,1,1,10000,2,1,1,12042,6,1,1,1,1,1,1.37151e-08,4,1.00194,0.0461674,1.598,6.96047,203.987,1,15,175.414,73.9992,0
4,1,1,1,10000,2,1,1,12042,7,0,0,0,1,0,nan,4,1.0588,0.0468887,1.793,0,38.9164,1,0,34.3057,62.6042,0
4,1,1,1,10000,2,1,1,12042,8,1,0,0,1,1,3.78426e-05,4,1.02372,0.0383154,1.662,7.042,157.359,1,1,108.704,69.4182,0
4,1,1,1,10000,2,1,1,12042,9,0,0,0,1,0,nan,4,0.925608,0.0346245,1.637,0,122.488,1,0,34.3057,62.6069,0
