num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure
4,1,1,1,10000,1,1,1,1,1,3277,10,1,0,0,1,1,6.05974e-05,4,0.343186,0.000801022,1.163,5.6505,13.7879,1,2,159.624,85.888,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,11,0,0,0,1,0,nan,4,0.319995,0.000745822,1.228,0,3.51116,1,0,35.5029,62.6027,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,12,1,0,0,1,1,5.48309e-08,4,0.35503,0.000826843,1.197,5.28017,34.647,1,6,148.572,85.8943,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,13,0,0,0,1,0,nan,4,0.320163,0.000719323,1.219,0,3.82815,1,0,35.5029,62.599,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,14,1,0,0,1,1,6.10159e-05,4,0.337903,0.000815002,1.188,5.8845,15.8888,1,2,148.787,87.2212,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,15,1,0,0,1,1,7.67772e-05,4,0.324079,0.000838947,1.195,6.03425,27.4275,1,4,206.337,95.0261,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,16,1,0,0,1,1,3.39335e-05,4,0.323889,0.000761565,1.271,4.92067,18.281,1,3,210.536,92.4531,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,17,0,0,0,1,0,nan,4,0.329545,0.000758311,1.213,0,4.51905,1,0,35.5029,62.6018,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,18,0,0,0,1,0,nan,4,0.336021,0.000860848,1.186,0,4.64116,1,0,35.5029,62.6004,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,19,0,0,0,1,0,nan,4,0.323247,0.000733251,1.212,0,4.83954,1,0,35.5029,62.601,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,20,1,0,0,1,1,7.19263e-05,4,0.325237,0.000766201,1.196,5.874,33.4929,1,5,138.938,81.9811,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,21,1,0,0,1,1,7.36311e-05,4,-0.527706,0.000745512,1.208,6.003,11.1208,1,1,138.667,82.2919,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,22,1,0,0,1,1,2.17011e-06,4,0.330355,0.000847828,1.224,5.988,11.2985,1,1,139.217,81.7595,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,23,1,0,0,1,1,6.58298e-05,4,0.320371,0.000793739,1.206,5.871,56.7973,1,9,175.747,90.1731,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,24,1,0,0,1,1,6.05309e-05,4,0.320087,0.000761947,1.194,5.79525,27.9276,1,4,184.434,90.0443,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,25,1,0,0,1,1,6.85189e-05,4,0.322922,0.000920628,1.243,5.768,39.5321,1,6,141.638,86.6788,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,26,1,0,0,1,1,7.23055e-05,4,0.316939,0.000761044,1.262,5.877,22.6702,1,3,183.266,92.1072,1,0,1,0
4,1,1,1,10000,1,1,1,1,1,3277,27,0,0,0,1,0,2.52707e+11,4,0.320223,0.000719138,1.214,0,11.8554,1,0,35.55,1564.97,1,0,1,0
