num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure,config_timed_out
4,1,1,1,10000,1,1,1,0,0,277,64,0,0,0,1,0,nan,4,0.34989,0.000867781,1.408,0,11.6112,1,0,35.5029,62.6034,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,65,1,0,0,1,1,2.77181e-06,4,0.366641,0.00111278,1.503,6.14767,30.6555,1,3,147.521,87.3096,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,66,1,0,0,1,1,3.28403e-05,4,0.346922,0.000827465,1.393,5.69209,74.1455,1,11,188.614,89.7071,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,67,1,0,0,1,1,6.69767e-05,4,0.336598,0.000914993,1.36,6.0259,71.6745,1,10,179.159,90.7459,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,68,1,0,0,1,1,6.78359e-05,4,0.34652,0.000867246,1.423,6.408,25.0865,1,2,139.195,86.4433,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,69,1,1,1,1,1,7.63186e-05,4,0.335971,0.00077156,1.49,6.19993,103.665,1,15,147.456,84.4959,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,70,0,0,0,1,0,2.52421e+11,4,0.328273,0.000990474,1.464,0,19.559,1,0,35.5586,1568.87,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,71,1,0,0,1,1,7.44154e-05,4,0.449956,0.00104942,1.675,6.22975,63.0066,1,8,208.306,94.6955,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,72,1,0,0,1,1,4.68902e-05,4,0.341802,0.000750086,1.44,5.253,28.9195,1,3,184.542,88.3719,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,73,1,0,0,1,1,6.30036e-05,4,0.350714,0.000923979,1.382,6.04592,84.5534,1,12,197.49,94.4137,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,74,1,0,0,1,1,6.42449e-05,4,0.349397,0.000859159,1.322,6.2005,25.5275,1,2,201.258,91.067,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,75,1,0,0,1,1,6.40091e-05,4,0.338604,0.000814666,1.333,6.2175,26.6587,1,2,198.136,89.9452,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,76,1,0,0,1,1,6.05889e-05,4,0.337866,0.000783637,1.347,6.02467,49.2564,1,6,160.5,87.1805,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,77,1,0,0,1,1,3.44067e-06,4,0.352993,0.00077111,1.331,6.207,19.7241,1,1,139.642,81.4782,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,78,1,0,0,1,1,5.04037e-06,4,0.344045,0.00080545,1.363,6.1105,26.6359,1,2,147.464,86.0428,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,79,0,0,0,1,0,nan,4,0.333912,0.000748895,1.373,0,13.7688,1,0,35.5029,62.604,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,80,1,0,0,1,1,7.14169e-05,4,0.355099,0.00105223,1.342,6.12933,32.5307,1,3,208.76,92.7884,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,81,1,0,0,1,1,9.55752e-05,4,0.346888,0.000863255,1.338,6.1485,26.4526,1,2,148.642,85.5528,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,82,1,0,0,1,1,7.30301e-05,4,0.392171,0.000863253,1.462,6.327,21.2838,1,1,139.411,82.7277,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,83,1,0,0,1,1,8.79702e-05,4,-0.2526,0.000763868,1.429,5.983,44.6415,1,5,138.676,82.4377,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,84,1,0,0,1,1,3.33589e-06,4,0.327,0.000770158,1.367,6.128,20.7897,1,1,137.839,82.2735,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,85,1,0,0,1,1,7.15426e-08,4,0.33259,0.000775829,1.342,4.998,29.8803,1,3,179.432,87.9767,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,86,1,0,0,1,1,2.59598e-06,4,0.340167,0.000771287,1.362,5.28,20.7408,1,1,137.845,79.4101,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,87,1,0,0,1,1,4.09318e-08,4,0.332946,0.000740365,1.396,5.54178,64.6657,1,9,205.168,94.271,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,88,0,0,0,1,0,2.52264e+11,4,0.348771,0.00106675,1.364,0,21.5516,1,0,35.5585,1570.83,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,89,1,0,0,1,1,6.58008e-05,4,0.384043,0.000769571,1.366,6.5205,28.7909,1,2,146.668,86.7433,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,90,1,0,0,1,1,6.09722e-05,4,0.36175,0.000803039,1.392,6.1805,41.2495,1,4,257.011,97.9581,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,91,0,0,0,1,0,2.52322e+11,4,0.361553,0.000801267,1.362,0,21.8469,1,0,35.5601,1580.41,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,92,0,0,0,1,0,nan,4,0.33811,0.0008696,1.487,0,16.9512,1,0,35.5029,62.603,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,93,1,0,0,1,1,6.05499e-05,4,0.334896,0.000804216,1.374,6.08614,58.535,1,7,172.823,87.3975,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,94,0,0,0,1,0,2.52243e+11,4,0.343131,0.000812471,1.362,0,22.4861,1,0,35.5577,1559.02,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,95,1,0,0,1,1,3.51093e-05,4,0.361435,0.000920838,1.369,5.86913,63.4264,1,8,151.658,89.8141,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,96,1,0,0,1,1,7.1384e-05,4,0.343535,0.000881795,1.435,6.246,23.0865,1,1,138.655,82.4537,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,97,0,0,0,1,0,2.52536e+11,4,0.349228,0.000810317,1.446,0,22.9038,1,0,35.5502,1574.3,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,98,0,0,0,1,0,2.52463e+11,4,0.332518,0.000825833,1.369,0,23.6301,1,0,35.55,1569.09,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,99,1,0,0,1,1,7.2732e-05,4,0.328147,0.000761259,1.386,6.036,40.5573,1,4,189.616,91.5907,1,0,1,0,0


